block_time,transaction_signature,block_num,program_id,trade_type,wallet_address,token_address,is_buy,amount_in_sol,amount_in_token,change_in_sol,change_in_tokens,price_in_sol,virtual_sol_reserves,virtual_token_reserves,real_sol_reserves,real_token_reserves,fee_recipient,fee_basis_points,fee_amount,creator_address,creator_fee_basis_points,creator_fee_amount,ingested_at
1757782409,5A1wLRhPV4BgDmXjv51XGv8aEJdTkFbztEHi9R9edgEUmcAtmyinRGF9AEJsSApHhzV7jSUVKEh75KH1cxVbjE4H,366586964,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,78mNrqnJZV36ZnWvEtAbHLa9rkuhKf6UtxE8ayrmgNet,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,124386476,3254105625274,-124386476,3254105625274,0.0000000382,35139959522,916051140649695,5139959522,636151140649695,CebN5WGQ4jvEPvsVU4EoHEpgzq1VV7AbicfhtW4xC9iM,95,1181672,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,373160,1757782428
1757782409,Fpok4kfDLG1VHui7uLmMBEgE1Y6hVZaEyh3czCLe5uFaR3cDS8WKnZbkxtbL8cLiXc3VhHTwarfmn1eD7HWwAgv,366586965,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,ACMaaMhuuGdMtkauWrz4CKgXaYcf4CMZHSiPskoDfvZv,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,302144373,7809347267939,-302144373,7809347267939,0.0000000387,35442103895,908241793381756,5442103895,628341793381756,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,2870372,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,906434,1757782428
1757782412,4h9o7V2Xqhk32VQimtvTSzc6Eb4hKTHJTWvt5JpGw1RxMLUV4iAcw17uwnHrkwMjRvFjnDjXA6GNTcs9D3Z9CuJe,366586973,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,11500000,294604200318,-11500000,294604200318,0.0000000390,35453603895,907947189181438,5453603895,628047189181438,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,109250,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,34500,1757782432
1757782412,4h9o7V2Xqhk32VQimtvTSzc6Eb4hKTHJTWvt5JpGw1RxMLUV4iAcw17uwnHrkwMjRvFjnDjXA6GNTcs9D3Z9CuJe,366586973,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,false,11499999,294604200318,11499999,-294604200318,0.0000000390,35442103896,908241793381756,5442103896,628341793381756,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,109250,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,34500,1757782432
1757782416,5TrRBYgScshQX2eGryixUrjCjYWme8jEoojph3KFCW92JnZLW2HfW3KxmTWmNsDSBAgZtmMMg5edzoSha86DwEf5,366586981,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,91qgvNKXY6QVWHpzZoz1GXrcQVy5obvMpGQNo3KYgqFU,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,212300000,5408020094723,-212300000,5408020094723,0.0000000393,35654403896,902833773287033,5654403896,622933773287033,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,2016850,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,636900,1757782434
1757782420,3SD2VMAJ1BF2FLnthM8XMJvK2chLxJXW37hkyaeL3ywzfUED99f9UvdmknkB3UPtycEMkf34XZF1PtQfn5URARFt,366586991,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,97jv9pjCf5D7VUZEyj6XnXBC5JF23Vsagc3bvSF6GRmL,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,false,162941751,4144921274945,162941751,-4144921274945,0.0000000393,35491462145,906978694561978,5491462145,627078694561978,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,1547947,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,488826,1757782438
1757782422,4KFaZWBZ9NRWPmnNj4vJpHbg51YPpRR4MeprRyXZ3fR86FyLVyY7yTCaGz66fzyAx3pSnBAsmcDtSzQzLvjXSc6u,366586994,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,DRv5ZANmAF9isYT5k5oENCHVD55UuwSSxGWmbdz3gQse,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,205400000,5218761893028,-205400000,5218761893028,0.0000000394,35696862145,901759932668950,5696862145,621859932668950,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,1951300,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,616200,1757782438
1757782423,mWVnwpydTHuRQA6wmytncB77VGkxFijxaA47Q8suaJQVfg7G1APpECtkK4LpvJ7u6rEfTHYA5Dbvt33xoxukbbs,366586996,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,r29Quah7wT8RF5G32ZZhZG3MKiKWkY4szcw5iijCxeE,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,16787500,423879805624,-16787500,423879805624,0.0000000396,35713649645,901336052863326,5713649645,621436052863326,AVmoTthdrX6tKt4nDjco2D775W2YK3sDhxPcMmzUAmTY,95,159482,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,50363,1757782440
1757782426,5Ww3ejzStdNnrV2jnUxjY8Qy8KKK6hYUvc5rr3mwP5twLuEcfXMGPzRGooDYGQAy8t54baQkKWo52DtkVdY4BWu9,366587002,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,6qLTMKJgbSNwAswYmWndG6mXHakSVmHRWuqGRYCMfftY,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,false,1808524200,48077924588073,1808524200,-48077924588073,0.0000000376,33905125445,949413977451399,3905125445,669513977451399,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,17180980,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,5425573,1757782443
1757782428,27pwaeAzPLgSWA7xXRMqu1CjgQ4iXECc62qwGzf54yJfE3XZjncZwrTRGimvYxKg7a2rsvXMkgvGMdmhyUHDh6CH,366587007,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,11100000,310721343883,-11100000,310721343883,0.0000000357,33916225445,949103256107516,3916225445,669203256107516,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,105450,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,33300,1757782445
1757782428,27pwaeAzPLgSWA7xXRMqu1CjgQ4iXECc62qwGzf54yJfE3XZjncZwrTRGimvYxKg7a2rsvXMkgvGMdmhyUHDh6CH,366587007,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,false,11099999,310721343883,11099999,-310721343883,0.0000000357,33905125446,949413977451399,3905125446,669513977451399,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,105450,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,33300,1757782445
1757782429,5VvkGZ8zM1btbPUCaaFfMRrhbiSXefE11dALhw6BzeSJBiUohbv4NxWmwqdLAv52v8gDS5e5aQSk3jaEiXPTNXAQ,366587009,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,10800000,302326143887,-10800000,302326143887,0.0000000357,33915925446,949111651307512,3915925446,669211651307512,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,102600,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,32400,1757782445
1757782429,5VvkGZ8zM1btbPUCaaFfMRrhbiSXefE11dALhw6BzeSJBiUohbv4NxWmwqdLAv52v8gDS5e5aQSk3jaEiXPTNXAQ,366587009,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,false,10799999,302326143887,10799999,-302326143887,0.0000000357,33905125447,949413977451399,3905125447,669513977451399,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,102600,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,32400,1757782445
1757782430,5EuYgFNWR6opvgUaAnF25XQkCRz13WT782XrtLG4XDBST7dUcz2oKmXnbjbjS2tMtyEfSbK7xBbWS9cibvhEMHRo,366587011,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,12000000,335906052746,-12000000,335906052746,0.0000000357,33917125447,949078071398653,3917125447,669178071398653,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,114000,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,36000,1757782447
1757782430,5EuYgFNWR6opvgUaAnF25XQkCRz13WT782XrtLG4XDBST7dUcz2oKmXnbjbjS2tMtyEfSbK7xBbWS9cibvhEMHRo,366587011,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,false,11999999,335906052746,11999999,-335906052746,0.0000000357,33905125448,949413977451399,3905125448,669513977451399,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,114000,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,36000,1757782447
1757782430,3x7tKo87sVVkktbtuqSxEnsVPWKzc2ABLVcKrpu3fr36LuSjfs5c4nkSuCKBUDvCwtcGJN3GNe7NuzrzTHQjpkjg,366587013,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,13200000,369483585549,-13200000,369483585549,0.0000000357,33918325448,949044493865850,3918325448,669144493865850,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,125400,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,39600,1757782447
1757782430,3x7tKo87sVVkktbtuqSxEnsVPWKzc2ABLVcKrpu3fr36LuSjfs5c4nkSuCKBUDvCwtcGJN3GNe7NuzrzTHQjpkjg,366587013,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,false,13199999,369483585549,13199999,-369483585549,0.0000000357,33905125449,949413977451399,3905125449,669513977451399,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,125400,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,39600,1757782447
1757782431,5mKrMYqvL6mnS22hHaKTNmnTC1ZPwJAf47qKXwVbKTMKWkuowRQq3CjJCeF7xENo8p3XA3XikycQSW854YAA2ST5,366587015,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,12200001,341502473202,-12200001,341502473202,0.0000000357,33917325450,949072474978197,3917325450,669172474978197,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,115901,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,36601,1757782447
1757782431,5mKrMYqvL6mnS22hHaKTNmnTC1ZPwJAf47qKXwVbKTMKWkuowRQq3CjJCeF7xENo8p3XA3XikycQSW854YAA2ST5,366587015,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,false,12200000,341502473202,12200000,-341502473202,0.0000000357,33905125450,949413977451399,3905125450,669513977451399,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,115900,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,36600,1757782447
1757782432,2WhaPiWtorRKAR7Jcz6Kqn18HU74GS9F6VYwbo4d6aAW2DaxB31Xqvb7GHRtHUYEDdmw9vC2bUMzayAUnRwJaac1,366587016,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,12900001,361089425076,-12900001,361089425076,0.0000000357,33918025451,949052888026323,3918025451,669152888026323,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,122551,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,38701,1757782449
1757782432,2WhaPiWtorRKAR7Jcz6Kqn18HU74GS9F6VYwbo4d6aAW2DaxB31Xqvb7GHRtHUYEDdmw9vC2bUMzayAUnRwJaac1,366587016,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,false,12900000,361089425076,12900000,-361089425076,0.0000000357,33905125451,949413977451399,3905125451,669513977451399,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,122550,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,38700,1757782449
1757782432,3xGKAr3RXDsEqti56uRUbzPRVpQp1GCb1aTFXDjKpZu4UW4Kd19DYkoqN9bF4r28R1UUSJEo2X9GU2suYGWPYvcG,366587017,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,6NvmiaZC9RMQidS5J9HdcvWrQ4XMeuiMo3LiyJYquasM,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,384400001,10643329942389,-384400001,10643329942389,0.0000000361,34289525452,938770647509010,4289525452,658870647509010,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,3651801,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,1153201,1757782449
1757782432,4TKNa848GiV8m9EFyeKhF66kwzsYhJpawVtKcPaYtLd8PFRXpjXe47CLqPzLD25jvayLsbK2emt8CPiMzSf1drzS,366587018,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,12887380,352695116102,-12887380,352695116102,0.0000000365,34302412832,938417952392908,4302412832,658517952392908,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,122431,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,38663,1757782449
1757782432,4TKNa848GiV8m9EFyeKhF66kwzsYhJpawVtKcPaYtLd8PFRXpjXe47CLqPzLD25jvayLsbK2emt8CPiMzSf1drzS,366587018,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,false,12887379,352695116102,12887379,-352695116102,0.0000000365,34289525453,938770647509010,4289525453,658870647509010,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,122431,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,38663,1757782449
1757782433,39ZAojgzgqVXmti158KbC1sVPqkc43eFPeccMNQzZGotmYfjL88pqRi32xigkGjvH2q8ATM1uYwuzff9BAFzM91t,366587020,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,13000000,355776091015,-13000000,355776091015,0.0000000365,34302525453,938414871417995,4302525453,658514871417995,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,123500,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,39000,1757782451
1757782433,39ZAojgzgqVXmti158KbC1sVPqkc43eFPeccMNQzZGotmYfjL88pqRi32xigkGjvH2q8ATM1uYwuzff9BAFzM91t,366587020,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,i3d96PXYSEuwG7fyBtryfWT6NYwnkB2JGqMrsjU8e5y,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,false,12999999,355776091015,12999999,-355776091015,0.0000000365,34289525454,938770647509010,4289525454,658870647509010,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,123500,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,39000,1757782451
